Trajectory ID,Mol smiles,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
9544,CC(C)CN(C)C(=O)CC(CNC(=O)[Au])O[Cu],1.4987e+0,4.7478e+2,3.1000e+1,1.2747e+0,1.7628e-5,1.1790e-8,8.7829e-9,7.0288e-9,-1.4829e-2
9545,CSC=CC(=O)NC(CO[Cu])COC(=O)[Au],1.4676e+0,4.7776e+2,2.6000e+1,1.4654e+0,6.4379e-5,2.4409e-8,1.8140e-8,1.2105e-8,1.9209e-1
9546,CC=CCC(CO[Cu])NC(=O)C(C)OC(=O)[Au],1.3612e+0,4.7375e+2,1.9000e+1,1.2956e+0,3.4657e-5,2.0686e-8,6.4821e-9,8.7139e-9,-1.8461e-1
9547,CC(C)CC(CNC(=O)[Au])NC(=O)C(C)N[Cu],1.3609e+0,4.7379e+2,1.9000e+1,1.2602e+0,3.7678e-5,1.4543e-8,8.9297e-9,6.7492e-9,2.1990e-3
9548,CCCN(CCOC(=O)[Au])CC(C)(C)O[Cu],1.4415e+0,4.6178e+2,1.9000e+1,1.2044e+0,3.8429e-5,3.6077e-8,1.7446e-8,1.8067e-8,-5.3175e-1
9549,CC(CO[Cu])(COC(=O)[Au])NC(=O)C(C)(F)F,1.4287e+0,4.8369e+2,2.6000e+1,1.4821e+0,7.6244e-5,2.9856e-8,1.5644e-8,1.3065e-8,3.7391e-2
9551,CCCC(C)(O[Cu])C(=O)NCCOC(=O)[Au],1.4418e+0,4.6174e+2,1.9000e+1,1.3192e+0,5.4016e-5,2.3582e-8,1.3140e-8,8.9979e-9,8.3200e-2
9552,COCC(NC(=O)[Au])C(=O)NC(C)CCN[Cu],1.3552e+0,4.7577e+2,1.7000e+1,1.3435e+0,4.8551e-5,1.4489e-8,8.3935e-9,6.8853e-9,3.4896e-1
9553,CCC(C)CC(=O)NCC(CN[Cu])OC(=O)[Au],1.4987e+0,4.7478e+2,3.1000e+1,1.2817e+0,3.8171e-5,2.1812e-8,1.4544e-8,7.8446e-9,1.2320e-1
9555,CCC(CC)(CNC(=O)C(C)NC(=O)[Au])N[Cu],1.3609e+0,4.7379e+2,1.9000e+1,1.2864e+0,4.5531e-5,1.4009e-8,8.5344e-9,5.4184e-9,2.6147e-1
9556,CCCC(COC(=O)[Au])N[Cu],1.3772e+0,3.8967e+2,3.1000e+1,1.2439e+0,6.3615e-5,3.1244e-8,1.9113e-8,1.1442e-8,1.4835e-2
9557,CC(NC(=O)CCNC(=O)[Au])C(C)(C)O[Cu],1.4560e+0,4.6075e+2,1.7000e+1,1.2972e+0,4.5082e-5,1.6627e-8,1.0560e-8,8.6688e-9,1.8860e-1
9559,CCC(C)C(N[Cu])C(=O)NCC(C)NC(=O)[Au],1.3609e+0,4.7379e+2,1.9000e+1,1.2749e+0,2.7968e-5,1.0522e-8,5.4816e-9,4.5760e-9,1.7060e-1
