Molality,Monomer Molecular Weight,Degree of Polymerization,CONDUCTIVITY,Mol_smiles_clean,is_valid,Topological_diameter_bonds,BRICS_unique_frag_count,BRICS_largest_frag_heavy_atoms,Fgroup_carbonyl,Fgroup_ester,Fgroup_amide,Fgroup_ether,Fgroup_alcohol,RingCount,AromaticAtomCount,Hybrid_SP,Hybrid_SP2,Hybrid_SP3,NumHDonors,NumHAcceptors,EState_sum,EState_max,EState_min,EState_std,EState_mean,Gasteiger_max,Gasteiger_min,Gasteiger_mean,Gasteiger_std,SASA_sum,MolLogP,TPSA,NumRotatableBonds,FractionCSP3,R_eff,D,Tg,eta
1.4743,476.75,26.0,5.4293e-05,CC(C)CNC(=O)NC(CO)COC(=O),True,10.0,5,4,2,1,2,1,1,0,0,0,7,8,3,4,43.33333333333333,11.202735260770975,-0.5672571806500384,3.8103212538275963,2.8888888888888884,0.3147174165261275,-0.46561735696141066,-0.08581349357064898,0.23531515947542628,114.48158801763341,-0.5245,87.66,7,0.7777777777777778,7.812023970995326e-10,3.3097355728287923e-10,108.20700000000001,138.9446426023684
1.261,472.72,31.0,4.4881e-05,CC(C)(C#N)C(=O)NCC(CO)OC(=O),True,9.0,4,7,2,1,1,1,1,0,0,2,6,7,2,5,47.74999999999999,11.361337868480724,-1.1377136479591843,4.188036975658212,3.1833333333333327,0.2930034162657421,-0.46024455446798773,-0.06560603648736764,0.231329284110415,107.64636688258452,-0.8137200000000002,99.42000000000002,6,0.6666666666666666,7.789949799816351e-10,3.319114281481509e-10,111.156,166.48427358961558
1.3674,472.76,19.0,2.6059e-05,CC(C)N(CCOC(=O))CC(CC#N)O,True,10.0,5,6,1,1,0,1,1,0,0,2,3,10,1,5,41.66666666666666,9.947721977297194,-0.6447859977324266,3.4721653169249045,2.7777777777777772,0.2926229284880483,-0.4665359983012292,-0.0693479530933494,0.20126790642666198,115.62158375196557,0.1443799999999998,73.56,8,0.8,7.79016951353244e-10,3.319020669278124e-10,103.98800000000001,129.82272159800252
1.3164,463.75,31.0,0.00012244,COC(C)CN(C)CC(COC(=O))O,True,10.0,5,4,1,1,0,2,1,0,0,0,3,11,1,5,37.166666666666664,9.852245589223854,-0.6442072940287227,3.2363460411369616,2.6547619047619047,0.29267152948624475,-0.4650922307061276,-0.08397815773798126,0.22163690474431397,111.38257768577493,-0.5130000000000001,59.0,8,0.8888888888888888,7.7403626303758e-10,3.340377559460565e-10,100.175,112.57023348732676
1.4919,475.76,31.0,4.7105e-05,CC(C)CC(=O)N(C)CC(COC(=O))O,True,10.0,4,6,2,1,1,1,1,0,0,0,6,9,1,4,42.333333333333336,11.46719246031746,-0.8228590325018901,3.911457873206523,2.8222222222222224,0.2926718576193829,-0.4650711868081,-0.07085979373687813,0.219542790105754,116.79549667070842,0.02479999999999999,66.84,7,0.8,7.806612844814021e-10,3.3120297043769233e-10,103.94399999999999,129.76779026217227
1.3612,473.75,19.0,5.7448e-05,C=CC(O)C(=O)NC(CC)C(C)OC(=O),True,9.0,4,6,2,1,1,1,1,0,0,0,8,7,2,4,44.166666666666664,11.275837112622828,-1.2338137755102048,3.9370875769269205,2.944444444444444,0.2929187809252984,-0.4626957442963781,-0.07411466661162423,0.2227915521910849,113.14403778383158,-0.010400000000000187,75.63,7,0.6,7.795603483333255e-10,3.316707127020145e-10,105.501,175.5424292845258
1.4635,459.72,17.0,4.3084e-05,C=CC(O)C(=O)NCC(C)COC(=O),True,10.0,4,6,2,1,1,1,1,0,0,0,8,6,2,4,42.33333333333333,11.009599867724868,-1.1859357940707154,3.9158991204219156,3.0238095238095233,0.2925866370429609,-0.4675446572838904,-0.07985400499679185,0.22912254183604883,103.96915466909935,-0.5414000000000001,75.63,7,0.5555555555555556,7.717876047739592e-10,3.3501099878595603e-10,104.09800000000001,187.03972848872033
1.3495,458.74,31.0,9.4519e-05,CC(C#N)CN(C)CC(COC(=O))O,True,10.0,4,5,1,1,0,1,1,0,0,2,3,9,1,5,40.16666666666667,9.829187737984185,-0.6980621693121696,3.5480594087668336,2.8690476190476195,0.292671529486183,-0.465092230743263,-0.07113118582982522,0.2092854602296379,106.44670063723332,-0.3882200000000002,73.56,7,0.7777777777777778,7.712387997501381e-10,3.352493889178174e-10,103.586,133.0109858753032
1.3572,461.78,26.0,1.7386e-05,CCCC(O)C(COC(=O))NC(C)C,True,8.0,4,7,1,1,0,1,1,0,0,0,3,11,2,4,35.5,10.043928177752582,-0.45615740740740773,3.2847895032608383,2.5357142857142856,0.2926350144678415,-0.4661326892794574,-0.0800911433620753,0.20004724544729935,115.29200071664329,0.6869999999999996,58.56,8,0.9,7.729386776093882e-10,3.345120949641611e-10,99.89,110.86570477247503
1.365,451.71,19.0,4.2078e-05,CC(C)(CNCC(CF)OC(=O))O,True,8.0,4,5,1,1,0,1,1,0,0,0,3,10,2,4,40.083333333333336,12.07807917611489,-0.8451966411564626,4.297187282167141,3.0833333333333335,0.292994048930651,-0.46043162819973926,-0.07999246046750354,0.2209607411026654,99.70279938993727,-0.1420000000000003,58.56,7,0.875,7.672788640960624e-10,3.369796151371292e-10,99.883,114.02168949771689
1.4631,459.77,17.0,7.1454e-05,CN(CC(C)(C)N)C(=O)CCNC(=O),True,9.0,4,5,2,0,2,0,0,0,0,0,6,8,2,3,37.916666666666664,11.41,-0.3864110528470648,3.5711864490744682,2.708333333333333,0.22364552758382544,-0.3581601100311052,-0.07831504138293162,0.19286629413545112,111.50002809381749,-0.6817999999999986,75.43,6,0.7777777777777778,7.718155841101534e-10,3.349988541939618e-10,105.063,134.907547439007
1.3949,471.73,14.0,3.1974e-05,CC(C)(COC(=O))C(=O)NCC#CCO,True,11.0,4,6,2,1,1,1,1,0,0,2,6,7,2,4,44.416666666666664,11.496481009070294,-0.7759874574829935,3.791087812489899,2.961111111111111,0.29261009594638004,-0.46677744891225187,-0.07238889338544573,0.2212997137754521,110.02292520753949,-0.7024999999999999,75.63000000000001,5,0.6,7.78450793129548e-10,3.3214345544756384e-10,107.299,178.53410981697172
1.4135,465.79,19.0,5.583e-05,CSCC(CNC(C)COC(=O))O,True,10.0,5,4,1,1,0,1,1,0,0,0,3,10,2,5,34.0,9.847216903366796,-0.33918414588057466,3.2388228690838217,2.6153846153846154,0.29263316380326737,-0.4662522752006029,-0.0841408058343215,0.20990829360042224,107.06534451254409,-0.1386,58.56,8,0.875,7.751695778763222e-10,3.3354938545743264e-10,100.29100000000001,114.48744292237444
1.3361,477.78,19.0,8.2612e-05,CCOCC(C)N(CCO)CCOC(=O),True,10.0,7,3,1,1,0,2,1,0,0,0,3,12,1,5,38.33333333333333,9.971296803845505,0.09479591836734702,3.0929608390619654,2.5555555555555554,0.2926229285384454,-0.4665359836891231,-0.08241617513646761,0.2128086194242483,120.55746080050716,-0.12129999999999974,59.00000000000001,10,0.9,7.817645783266261e-10,3.3073554813571757e-10,99.57799999999999,110.519422863485
